Date,Author,Comment
2023-11-16,qaisah_syahirah,"Material:good
Durability:sturdy

Just some of the stiches are kinda too rough other than it worth the price."
2024-03-14,nurmasayu96,"Material:cantik
Durability:nampak sturdy berbaloi dengan harga

beli time Live dapat RM18.19. berbaloi!!! pakai untuk jangka masa singat boleh la."
2024-01-31,nuraiza16,"Durability:bagus
Material:bagus kualit nampak mahal

Kualiti beg mantap. Nanti repeat order color lain pula. Thank you seller."
2024-03-13,noryneyyna,Brg dh Selamat sampai..delivery laju..cantik sngt beg nye beli masa live dpt jimat byk..terus grab 2 colour utk this pattern 😍
2023-11-21,yan22shopper,"Material:Good
Durability:Good

Beg sangat cantik dan berkualiti dengan harga mampu milik. Pembungkusan yang bagus dan barang tidak rosak.Good service by seller and fast delivery."
2023-10-30,amirasyamimi_,"Durability:looks durable
Material:pu leather

Sangat cantikkkk. Color die cantik sangat. Material dia pun mmg high quality. Nampak mahal. Memang puas hati."
2024-02-16,t*****2,bag quality is so surprisingly good for its affordable price! highly recommend!!!!!!!
2023-11-05,i*****h,"Durability:good
Material:good

Warna dia more to off white so far okay la zip okay and muat letak purse and phone"
2024-02-15,f*****s,Satisfied with the purchase. Great design with decent price. Fit all my necessary stuff.
2024-02-11,i*****2,"Durability:Excellent
Material:Great

The bag is same as display. It is smooth and great quality. Fast delivery too!"
2024-02-05,a*****_,"Durability:it's so sturdy! I love it this bag, I looks like it high quality luxury bag
Material:leather I think"
2024-02-07,nor1234567,"Material:ok
Durability:haven use

Fast delivery
Simple good packaging 
Item received in good conditions,  tq seller. 
Can fit HP,  purse and keys"
2023-12-15,husnainihusain,"Material:okay 👌
Durability:not yet used

So far barang Sampai dengan selamat,,beg betul..puas hati sangat2 sebab cantik gile...."
2023-11-23,jojoyjanelle,"Material:Good
Durability:Good

Very pretty bag! Worth the price.. highly recommended!"
2023-11-14,dianasyairah,"Durability:good
Material:nice.!

Lawa gilaa bag nya..n penghantaran pun laju je."
2023-12-18,n*****a,"Material:okay
Durability:okay

comel nya!! cantik sangat kena dengan price. besar juga beg ni boleh letak powerbank wallet semua. suka la"
2024-01-22,n*****2,"Material:⭐⭐⭐⭐⭐
Durability:⭐⭐⭐⭐⭐

Omggggg😭🤌🏻the bag was cute and prettyyy..the color of the bag was more like ivory color...overall I lurvee itt💗💗"
2023-11-08,elciaky90,"Material:tebal n kualiti

Mmg comel.sesuai dgn harga…apa yg d oder mmg sma pd gmbr"
2023-12-07,_merheejabcollection,"Material:good
Durability:good

barang dah sampai dalam keadaan baik , cantik ssngt2 beg ni"
2023-11-05,u*****i,"Durability:not sure

Bag cantik… zip ok 👍🏻.. penghantaran pantas.. walaupon murah bag nampak ber quality.. jahitan kemas.. xde yg rosak.. recommended…"
2024-02-15,lyasofia81,"Material:good
Durability:good

Design cantik..warna pun cantik.. material pun best
Banyak design cantik2 will repeat  order soon"
2024-02-17,u*****7,"Durability:keras
Material:MACAM MAHAL PUNYA

waitt harga dia mmg murah i dapat only rm 38 sumpah cantik but i order white ni dapat cream but its okey i terima sebab cantik jugak cream ni😭😭😭 insyallah repeat soon"
2024-03-18,n*****i,"Durability:so far strong
Material:pvc

Comel ye saiz dia. Muat iP11, card holder, kunci rumah & kereta, few makeup kits. Buat gi ofis je tp selalu juga bawa jalan2 sbb senang saiz on the go. Love it so far."
2023-12-22,m*****p,"Durability:ok
Material:pu leather

-harga murah
-design lawa..sama macam dalam gambar
-space dalam bag ok la tak sempit sangat boleh letak purse panjang,hp
-penghantaran agak lambat,tapi ok la barang sampai seperti yang dijangka"
2024-02-06,a*****h,"Material:Good
Durability:Good

First time beli dari kedai ni. Tapi sangat berpuas hati 😍 Cantik sangat begnyaa. Thankyouuuu! ❤️"
2023-12-06,b*****e,Really nice quality and worth the price. Process and delivery so fast. Tq seller 🥰
2024-03-08,s*****a,"The quality is okay for the price , size is quite small, suitable for those who doesn’t like to carry much stuffs . Overall satisfied because delivery was fast 💨"
2024-03-03,fazrynallieya,"Durability:10/10
Material:Leather

the bag is so simple yet so pretty and look hella expensive 😍 i can tell this leather bag is sturdy and wont koyak easily lol. i thought the colour “white” is off white, but it turns out to be beige white (still pretty tho) 💗"
2023-11-23,c*****r,"Bag is sturdy. Looks expensive. Worth the prize. Can fit small purse and hp. Overall all okay, quality is okay too."
2023-11-04,s*****b,Sangat puas hati dengan material yg digunakan.. 🥰 Beg pon cantik👍🏻 Zip utk compartment dia pon smooth ja xde sekat² or rosak🥰
2024-03-03,s*****z,"Durability:tidak tahu
Material:PU leather

Barang dah sampai dalam keadaan yang sangat baik dan pembungkusan yang baik tiada sebarang kerosakan. Beg lawa sangat TQ seller"
2024-02-08,s*****a,"Material:ok
Durability:ok

Cantik.ringan .warna yang cantik. Harga yang berpatutan .kualiti ok .saya suka terima kasih"
2024-03-12,atiqahzaini_,Barang dah sampai dalam keadaan elok terima kasih seller cantik sangat selasa di pakai 💕
2024-03-06,s*****0,Comel.. sukaaa.. 😍murah.. seller n courier lajuuuu... Cepat je sampai.. 👍🏻
2024-02-22,w*****p,"Material:pvc
Durability:good

Tq seller, beg cantik sangat berbaloi dengan harga...xbesar sangat dan xkecik sangat.. oklah untuk girl2 yang nak nampak elegence gituww.. tq seller"
2023-11-27,z*****3,"Material:material looks good, padan dengan harga
Durability:nampak macam tahan, hopefully tahan lama

recommend dengan harga tu"
2023-11-13,a*****m,"Durability:Good
Material:pvc

Beli time 11.11. Cantik sangat, terbaik penghataran pon cepat okayy 👍🏻🫰🏻"
2023-11-05,renjunahh,"Material:okay je not bad
Durability:idkk

SUMPAH LAWA YALL FOR THE PRICE?? i got rm12 off and rm5 off like hhshddbn and im going to match it with the clothes so pretty 🤭"
2024-02-29,beauty.makcik,Saya minta seller hantar bags dengan kotak sebab saya beli banyak hampir rm200. Buyer dah beli banyak so tolonnglah hantar elok sikit. Saya terima parcel dengan keadaan parcel koyak dan beg rosak sebab dia wrap pakai plastik je. Seller ni teruk. Kalau beli 1 saya terima je kalau beg tu di wrap mcmtu. Tapi saya beli banyak 5 beg !! Dislike dislike.
2023-11-24,cik_faizah,"Material:good
Durability:good

beg so nice..kualiti pun oke setanding hrga mmpu milik..🥰"
2024-02-07,w*****i,"Material:gpood
Durability:good

Parcel received in good. Will repeat order again. Thank you."
2024-03-02,shahilanatasha,"Material:good
Durability:merah jambu

Kualiti sangat cantik😍 rasanya tidak menyesal beli🫢 nampak premium👍🏻"
2024-03-08,einasyikin,"Material:good
Durability:good

cantik dan packaging elok , berbaloi beli . 👏🏻👏🏻⭐️⭐️⭐️⭐️⭐️"
2023-11-14,jiaweisharon,"Material:good material

Fast delivery. The colour is same like pic. But just got a lit bit press . But I still satisfied 😄"
2024-03-02,j*****7,"Material:PV
Durability:long i think

the bag colour if pretty, material is nice, can put phone in it also,i hope my mum will like it"
2024-02-06,n*****n,"Material:terbaik
Durability:tahan

beli nee masa live dpt rm30 lebih jak.. sorry dgn gambar tp bag sampai awal.. terbaik seller.."
2024-03-09,p*****o,"Material:PU Leather kot

Cantik gila guys!!! Premium. Beli time live, dapat harga murah 🤭 beg ni boleh muat Phone, purse , tissue, compact powder, lipstick and lipgloss. Byk jgk boleh sumbat actually hahahaha. Worthy teruks💓 next time nk beli style lain plk 🙈 tq seller"
2023-12-13,h*****m,"Material:macam leather
Durability:tahan

Bag cantik, tebal, cuma kaler putih dia macam kuning2 sikit.. apapun puas hati.. sebab cantik sgt tq seller"
2024-02-16,d*****m,"Material:tak sure
Durability:good

Cantik sangat. Nampak je kecik tapi muat banyak barang. Suka sangat dengan beg ni"
2024-01-12,i*****h,"Durability:Good
Material:Pu leather

Penghantaran sangat lama ke Sabah.
Beg cantik je dan tak kecil sangat tp besar."
2023-10-30,jessiewong2005,"product quality is ok, good value for money, fast delivery, excellent service by seller"
2023-11-25,s*****9,"Durability:good
Material:good

Suitable for young woman and also suitable for children. Really worth for buying and i don’t regret. Hehehe"
2024-02-09,c*****8,"Fast delivery
Good value for money
Good quality of product
Thank you seller"
2023-11-13,a*****6,"The bag is cute, worth to buy. Enough to put phone, purse and some basic makeup. The material is leather (?) like or something similar to that. Seems waterproof."
2023-10-20,junemohdnor,"Material:okey
Durability:okey

kecewa sikit la order lain dpt yang lain... tp seller mntak pos semula nk refund... pikir balik xpela ambik je la yg ni...lgpon dpt harga murah je dlm rm20++ n free shipping... beg pon nmpak kualiti n cun...👍"
2023-12-25,a*****h,"Material:hellokk

Cantik sangat color apricot, kita beli sebab nak match dengan baju hitam, corak nude hehe 
Recommended 👍🏻"
2024-02-04,a*****.,"Material:pu leather
Durability:durability depends on how well the bag is treated

handbag is pretty and affordable. I prefer it simple and small. It looks nice and gives off an expensive vibe 😎. This is my second purchase, and I highly recommend it!"
2023-12-05,mieyhumaira,"Material:mantap
Durability:ok

dapat harga sale tu hari,terima kasih seller ,bestnya dapat harga murah,beg pun berkualiti"
2024-03-20,azwanawana,"Durability:ok
Material:ok

Hand bag dah sampai....bungkusan ok sangat-sangat...harga pun ok lh...penghantaran sangat cepat..terima kasih seller....terbaik lh"
2023-10-29,e*****3,The bag has a little damage. Macan kemek dekat bag yg lain ok je. Cantik dan penghantaran pantas👍. Thanks seller
2024-03-10,j*****y,"Material:high kualiti.material mahal mahal gitu

Korang belilah comfirm tak menyesal"
2024-02-05,kenits123,"Material sangt2 puas hati, lawa nak mampos😂😭 . Kualiti cm mahal🥰"
2024-03-07,eiyda_25,"Material:material soft , cantik jer , puas hati dooh ,

penghantaran laju"
2023-11-04,syafiqahmomin,"it is cute and I am really satisfied with the material 🙌🏻 but the only thing I am not satisfied with is the way they pack the item. no bubble wrap, thankfully I received the item in a good condition."
2024-01-27,nor_jamiatin,"Durability:ok
Material:ok

Cantik gile, kuning cair . Penghantaran laju. Tq seller"
2024-02-27,a*****6,"Durability:good but..
Material:pu lether

The zip... Bagi saya, ia agak kurang lurus. Harga asal 46, tpi dpt 27.90 nice cuma zip tu kurang memuaskan... Cocok dgn harga 27 bukan 46.. hehe"
2024-02-11,m*****9,"Material:ok

Barang sampai dengan selamat
Tiada sebarang kerosakan
Terima Kasih"
2023-12-01,teah.zamri,"Durability:laju
Material:taktau

penghantaran laju tapi bagi sy bag ni kecil 😂 boh dompet takleh tutup 😂"
2023-11-05,n*****0,"Fast delivery,quality ok not bad la,small but can fit small wallet,phone,& others small item l"
2024-02-09,n*****n,The bag is okay but I hope next time seller will post it in a box. At least put it in something instead of just packing it in a plastic bag and posted it. My bag was not in its best condition as it got squished during the delivery process.
2024-03-18,s*****k,"Durability:ok
Material:ok

Loveeeee sgtttt handbag ni..xkecik sgt xbsr sgt .tp nice je."
2024-02-23,r*****h,"Material:tak nampak murah
Durability:quality okay

loveree doohh!!! ngam2 
nasib lengan dah kecik skrg"
2024-01-14,amylitah3003,"Material:ok
Durability:ok

Ok lawa,,walaupun 1kali return sebab salah bagi item, nasip yg kedua kali oder ngam oder ngam d packing😆"
2024-01-17,sitinuraizila,First time beli tapi okayy laaa . Beg cantik tapi ada kesan kedut kedut camtuu . Paperbeg tuuu dapat tak yeapooo . Nnti boleh upgraded cara packaging . Pape pon okayy . Nnti repeat.
2023-12-26,n*****z,I'm so in love with this beg!! Cantik and comel je beg ni... 😍😍
2023-12-13,zerohoure,"Material:leather
Durability:good

Cantik suke sangat bag dia simple but nice boleh laa nk bwk p jalan ii tq seller"
2024-03-14,h*****9,"Durability:Boleh tahan
Material:unknown

Selesa pakai ,, tak menyesal beli …"
2024-03-19,n*****s,"Bag lawa tpi agak kecewa sbb bag dtng bukan dalam kotak, jdi bila buka tu nmpak kedut2 dkt bag mcm dlm video. Harap seller lpsni letak bag dlm kotak untuk preserve the shape so that x de kedut2 mcm dlm video. Maybe after guna okay kut tpi first impression agak kecewa sikit. Saya tahu harganya sesuai dngn barang tpi saya harap untuk menjaga brand ini seller boleh improve."
2023-11-16,cbl_1113p,"Material:Ok
Durability:Ok

Late received not like expected early received like others seller, packaging ok.  Tks 🙏 🙏 🙏 🙏"
2024-01-03,aiman_syafi,"Material:mantap

Postage laju, barang lawa dan adik saya suka..kualiti cun cun .. 👍🏻 thanks seller"
